order_id,order_date,customer_id,product_id,quantity,selling_price,discount,returned
O000054,2025-10-10,C02624,P0056,2,2449.88,0.25,No
O000055,2025-12-13,C02417,P0245,2,3072.76,0.0,No
O000056,2025-08-13,C05324,P0016,2,14533.96,0.0,No
O000057,2025-03-18,C02767,P0446,4,19589.73,0.2,No
O000058,2025-07-17,C00433,P0187,1,9100.08,0.15,No
O000059,2025-12-10,C05779,P0128,1,9382.14,0.1,No
O000060,2025-06-24,C05306,P0416,2,17060.84,0.0,No
O000061,2025-12-28,C06683,P0109,1,8309.1,0.0,No
O000062,2025-10-03,C07984,P0394,2,8659.15,0.25,No
O000063,2025-11-27,C03546,P0119,1,8689.71,0.15,No
O000064,2025-11-04,C03141,P0296,1,16094.65,0.25,No
O000065,2025-09-24,C00580,P0015,1,15325.83,0.25,No
O000066,2025-07-13,C06559,P0290,2,21246.93,0.05,Yes
O000067,2025-10-16,C06949,P0456,1,9459.84,0.25,No
O000068,2025-08-16,C01017,P0289,1,9994.13,0.1,No
O000069,2025-08-23,C06561,P0054,3,17562.76,0.0,No
O000070,2025-02-04,C07574,P0013,4,4418.24,0.25,No
O000071,2025-04-17,C00634,P0029,2,11386.55,0.05,No
O000072,2025-08-12,C00544,P0235,2,7444.12,0.05,No
O000073,2025-02-07,C06266,P0094,2,11217.58,0.05,No
O000074,2025-11-22,C03789,P0302,3,16386.98,0.0,No
O000075,2025-07-13,C02582,P0296,3,16094.65,0.2,No
O000076,2025-06-22,C00041,P0436,1,2362.54,0.15,No
O000077,2025-08-02,C02840,P0471,1,5308.44,0.0,No
O000078,2025-03-16,C02064,P0453,2,20727.68,0.25,No
O000079,2025-08-21,C04584,P0094,3,11217.58,0.1,No
O000080,2025-09-09,C09170,P0166,2,19944.11,0.2,No
O000081,2025-10-08,C02729,P0457,4,4827.34,0.0,No
O000082,2025-12-21,C02470,P0082,2,11815.11,0.25,No
O000083,2025-02-10,C00423,P0492,5,3271.17,0.05,No
O000084,2025-01-28,C09453,P0284,4,3280.06,0.1,No
O000085,2025-09-15,C06867,P0188,2,14941.63,0.05,No
O000086,2025-07-29,C04436,P0252,1,9761.35,0.2,No
O000087,2025-08-07,C00319,P0332,3,13518.82,0.1,No
O000088,2025-06-25,C04212,P0470,1,2731.47,0.15,No
O000089,2025-12-22,C09014,P0239,1,13735.78,0.15,No
O000090,2025-01-08,C08788,P0134,1,3674.71,0.25,No
O000091,2025-06-12,C04467,P0214,1,14175.18,0.15,No
O000092,2025-02-14,C00867,P0223,1,3310.47,0.2,No
O000093,2025-03-20,C09940,P0233,2,9090.5,0.05,No
O000094,2025-11-03,C01005,P0408,1,2687.66,0.05,No
O000095,2025-11-26,C01167,P0363,3,7027.25,0.1,No
O000096,2025-06-24,C00440,P0001,1,7612.3,0.15,No
O000097,2025-08-06,C08454,P0483,1,6653.56,0.15,No
O000098,2025-09-21,C06518,P0278,1,13287.97,0.05,No
O000099,2025-06-06,C06577,P0194,5,6380.09,0.2,No
O000100,2025-08-27,C01051,P0074,2,17873.88,0.05,No
O000101,2025-05-15,C02855,P0390,1,18079.48,0.25,No
O000102,2025-12-18,C06113,P0345,1,12335.95,0.15,No
O000103,2025-11-06,C01389,P0296,1,16094.65,0.2,No
O000104,2025-01-11,C04288,P0285,2,11223.2,0.0,Yes
O000105,2025-01-01,C01942,P0242,2,8897.58,0.25,No
O000106,2025-02-22,C07961,P0447,1,10287.3,0.0,No
O000107,2025-01-29,C01696,P0371,1,16777.98,0.1,No
O000108,2025-08-06,C03705,P0116,5,1584.01,0.2,No
O000109,2025-07-14,C07253,P0306,1,20789.39,0.05,No
O000110,2025-02-12,C04812,P0212,2,1566.7,0.1,Yes
O000111,2025-10-20,C01501,P0018,4,14465.72,0.0,No
O000112,2025-02-24,C00836,P0418,1,16498.59,0.25,No
O000113,2025-07-10,C02894,P0007,1,12217.49,0.1,No
O000114,2025-03-25,C09263,P0243,2,18295.52,0.25,No
O000115,2025-02-11,C02878,P0017,1,13574.72,0.25,No
O000116,2025-11-16,C07712,P0187,3,9100.08,0.15,No
O000117,2025-12-21,C07549,P0346,2,11059.56,0.1,No
O000118,2025-06-14,C09817,P0217,2,9086.62,0.25,Yes
O000119,2025-03-27,C05067,P0131,1,11768.77,0.15,No
O000120,2025-11-29,C04226,P0343,1,9080.05,0.1,No
O000121,2025-06-28,C04657,P0058,3,13301.55,0.05,No
O000122,2025-12-15,C00645,P0482,3,8229.98,0.0,No
O000123,2025-08-23,C03075,P0123,4,11434.73,0.2,No
O000124,2025-08-05,C07277,P0405,3,12684.34,0.15,No
O000125,2025-07-14,C09961,P0230,2,890.89,0.25,No
O000126,2025-01-03,C06173,P0393,3,14985.7,0.1,No
O000127,2025-08-23,C01449,P0414,1,11956.0,0.25,No
O000128,2025-06-02,C05951,P0267,2,462.73,0.15,No
O000129,2025-05-20,C01292,P0141,2,2035.24,0.0,No
O000130,2025-06-22,C03465,P0490,2,3065.18,0.05,No
O000131,2025-07-02,C00740,P0346,1,11059.56,0.1,No
O000132,2025-10-23,C09256,P0317,2,12356.6,0.05,No
O000133,2025-05-05,C06126,P0392,1,1078.24,0.15,No
O000134,2025-03-01,C01791,P0050,1,13016.35,0.0,No
O000135,2025-12-21,C08489,P0191,3,626.87,0.2,No
O000136,2025-09-19,C06952,P0460,2,10115.31,0.25,Yes
O000137,2025-04-24,C05268,P0306,3,20789.39,0.0,No
O000138,2025-03-02,C09452,P0211,2,14052.38,0.05,No
O000139,2025-12-22,C07438,P0371,1,16777.98,0.1,No
O000140,2025-01-21,C08715,P0005,3,13624.55,0.05,No
O000141,2025-03-21,C06859,P0136,1,19292.56,0.15,No
O000142,2025-06-21,C02200,P0005,3,13624.55,0.1,No
O000143,2025-10-22,C02687,P0422,2,18145.59,0.15,Yes
O000144,2025-02-22,C08980,P0443,2,6365.25,0.05,Yes
O000145,2025-12-16,C04619,P0241,1,7162.63,0.25,No
O000146,2025-07-17,C07322,P0157,1,11681.05,0.05,No
O000147,2025-02-23,C07466,P0491,1,8364.26,0.2,No
O000148,2025-04-03,C07774,P0407,1,22191.87,0.15,No
O000149,2025-06-22,C03001,P0256,2,15939.8,0.1,No
O000150,2025-04-03,C02361,P0319,1,9595.8,0.15,No
O000151,2025-11-29,C08249,P0266,2,2292.24,0.2,Yes
O000152,2025-08-29,C08598,P0237,1,13161.26,0.1,No
O000153,2025-08-20,C04227,P0453,3,20727.68,0.0,No
O000154,2025-11-09,C00070,P0060,4,3881.09,0.05,No
O000155,2025-04-20,C09524,P0355,1,17590.9,0.0,No
O000156,2025-04-04,C09865,P0223,2,3310.47,0.1,No
O000157,2025-10-25,C01049,P0358,1,13905.47,0.15,No
O000158,2025-01-14,C08454,P0309,1,18448.65,0.1,No
O000159,2025-05-31,C08651,P0147,1,4088.72,0.05,No
O000160,2025-03-02,C05726,P0209,4,10967.3,0.0,Yes
O000161,2025-07-25,C06711,P0284,1,3280.06,0.05,No
O000162,2025-02-01,C03933,P0445,4,1758.64,0.15,No
O000163,2025-11-11,C06864,P0172,1,4438.12,0.0,No
O000164,2025-07-13,C03803,P0053,1,9968.3,0.25,No
O000165,2025-05-08,C04908,P0124,1,19783.72,0.15,Yes
O000166,2025-11-30,C02888,P0414,2,11956.0,0.15,No
O000167,2025-11-29,C06781,P0326,1,5859.79,0.1,No
O000168,2025-04-07,C05770,P0215,3,14391.4,0.0,No
O000169,2025-10-06,C01254,P0108,2,15961.85,0.15,No
O000170,2025-09-07,C03048,P0286,2,4709.15,0.0,No
O000171,2025-06-13,C06819,P0040,2,15323.09,0.1,No
O000172,2025-09-20,C08367,P0170,1,13028.7,0.05,No
O000173,2025-06-01,C05343,P0363,1,7027.25,0.0,No
O000174,2025-09-25,C09028,P0349,1,11687.99,0.05,No
O000175,2025-12-06,C02808,P0469,2,3816.83,0.2,No
O000176,2025-06-11,C09569,P0022,3,14726.15,0.2,No
O000177,2025-11-07,C09656,P0473,2,4233.37,0.1,No
O000178,2025-03-22,C08217,P0456,5,9459.84,0.2,Yes
O000179,2025-01-19,C07357,P0453,1,20727.68,0.0,No
O000180,2025-12-12,C03609,P0430,1,16347.68,0.2,No
O000181,2025-03-27,C07542,P0047,1,7647.17,0.05,No
O000182,2025-08-10,C03408,P0445,4,1758.64,0.2,No
O000183,2025-08-15,C04801,P0065,4,16123.27,0.25,No
O000184,2025-08-07,C06377,P0070,4,13390.68,0.25,No
O000185,2025-08-30,C05537,P0096,1,745.75,0.15,No
O000186,2025-05-05,C00477,P0370,1,18082.34,0.2,Yes
O000187,2025-10-15,C07916,P0230,1,890.89,0.1,No
O000188,2025-01-04,C01311,P0490,1,3065.18,0.25,No
O000189,2025-11-23,C03636,P0137,2,16054.87,0.25,No
O000190,2025-06-25,C07870,P0125,3,11687.32,0.05,No
O000191,2025-08-20,C02115,P0440,1,14082.66,0.25,No
O000192,2025-06-19,C00917,P0131,1,11768.77,0.2,No
O000193,2025-04-22,C09569,P0241,1,7162.63,0.05,No
O000194,2025-11-22,C03615,P0382,2,8006.4,0.05,No
O000195,2025-08-18,C05643,P0418,4,16498.59,0.0,No
O000196,2025-05-11,C02675,P0404,1,2978.54,0.25,Yes
O000197,2025-06-22,C05425,P0176,1,17886.76,0.15,No
O000198,2025-08-19,C03653,P0297,3,10275.22,0.15,No
O000199,2025-02-23,C04804,P0054,1,17562.76,0.2,No
O000200,2025-10-26,C01133,P0185,1,7098.71,0.1,No
O000201,2025-09-28,C07541,P0120,1,5310.31,0.1,No
O000202,2025-05-23,C00167,P0153,2,6665.42,0.1,No
O000203,2025-04-27,C07066,P0256,1,15939.8,0.25,No
O000204,2025-12-20,C01156,P0494,1,14059.13,0.2,No
O000205,2025-08-27,C05772,P0274,4,7675.3,0.15,No
O000206,2025-03-24,C06935,P0457,1,4827.34,0.2,No
O000207,2025-10-31,C05125,P0299,2,5417.11,0.1,Yes
O000208,2025-01-17,C06910,P0141,1,2035.24,0.0,No
O000209,2025-04-16,C09743,P0166,1,19944.11,0.05,Yes
O000210,2025-05-06,C00774,P0116,2,1584.01,0.0,No
O000211,2025-09-16,C03954,P0370,1,18082.34,0.15,No
O000212,2025-07-02,C03668,P0127,1,17886.19,0.2,No
O000213,2025-02-08,C08981,P0397,1,2226.08,0.25,No
O000214,2025-04-22,C01917,P0188,1,14941.63,0.1,No
O000215,2025-07-26,C03240,P0167,1,5949.28,0.05,No
O000216,2025-03-26,C07371,P0252,2,9761.35,0.15,No
O000217,2025-07-15,C05223,P0475,1,3627.09,0.15,No
O000218,2025-12-23,C06031,P0237,4,13161.26,0.25,No
O000219,2025-09-11,C05791,P0492,1,3271.17,0.1,No
O000220,2025-07-08,C06077,P0500,1,10345.0,0.1,No
O000221,2025-11-19,C03933,P0353,1,2607.46,0.2,No
O000222,2025-02-28,C01360,P0227,1,12236.48,0.1,No
O000223,2025-02-08,C04690,P0460,2,10115.31,0.2,No
O000224,2025-06-10,C02629,P0354,1,18988.97,0.25,No
O000225,2025-02-01,C02350,P0415,4,6493.51,0.25,No
O000226,2025-02-08,C08203,P0084,1,17129.55,0.1,No
O000227,2025-11-19,C01100,P0313,2,12321.09,0.0,No
O000228,2025-06-01,C06132,P0252,2,9761.35,0.1,No
O000229,2025-12-07,C03351,P0021,1,4977.26,0.25,No
O000230,2025-04-14,C04294,P0238,1,21968.88,0.25,No
O000231,2025-01-30,C02319,P0154,1,4838.15,0.25,No
O000232,2025-02-16,C03965,P0089,3,4607.66,0.25,Yes
O000233,2025-12-26,C04682,P0005,1,13624.55,0.05,Yes
O000234,2025-05-29,C07152,P0120,2,5310.31,0.0,No
O000235,2025-02-15,C01479,P0091,3,22504.82,0.0,No
O000236,2025-09-02,C02700,P0182,2,10089.55,0.2,No
O000237,2025-09-02,C00441,P0145,2,8335.54,0.1,No
O000238,2025-03-20,C03878,P0463,1,12336.06,0.15,No
O000239,2025-11-01,C09072,P0461,1,14739.31,0.0,No
O000240,2025-04-30,C04958,P0380,1,7751.48,0.2,No
O000241,2025-04-14,C07750,P0036,1,323.29,0.25,No
O000242,2025-08-25,C02882,P0457,1,4827.34,0.15,No
O000243,2025-05-29,C08087,P0123,3,11434.73,0.0,No
O000244,2025-03-26,C02470,P0014,2,13012.44,0.25,No
O000245,2025-04-25,C08233,P0043,1,16292.15,0.1,No
O000246,2025-01-18,C05003,P0287,1,8476.7,0.2,Yes
O000247,2025-10-07,C00832,P0285,2,11223.2,0.25,No
O000248,2025-07-31,C06224,P0347,1,14123.0,0.1,No
O000249,2025-10-21,C01918,P0423,1,14525.2,0.2,No
O000250,2025-03-20,C00592,P0263,1,14505.92,0.05,No
O000251,2025-10-15,C06432,P0494,2,14059.13,0.25,No
O000252,2025-03-19,C07247,P0492,1,3271.17,0.15,No
O000253,2025-01-28,C06533,P0251,5,6811.91,0.25,No
O000254,2025-09-05,C01134,P0467,1,17009.55,0.25,No
O000255,2025-10-16,C08977,P0462,1,10912.33,0.0,No
O000256,2025-01-19,C07851,P0149,1,14501.44,0.0,No
O000257,2025-03-23,C03375,P0401,1,1395.4,0.05,No
O000258,2025-07-08,C04318,P0304,1,15970.93,0.15,No
O000259,2025-07-20,C08508,P0244,1,16004.3,0.25,No
O000260,2025-12-27,C05682,P0385,1,6379.95,0.25,No
O000261,2025-04-26,C07525,P0078,1,1175.42,0.15,No
O000262,2025-07-21,C03424,P0061,1,9787.76,0.05,No
O000263,2025-02-09,C08255,P0373,1,12155.24,0.25,No
O000264,2025-12-20,C00899,P0162,3,8782.9,0.0,Yes
O000265,2025-07-14,C09394,P0314,3,1332.09,0.05,No
O000266,2025-08-25,C06537,P0446,1,19589.73,0.1,No
O000267,2025-11-02,C04603,P0207,3,5174.01,0.15,No
O000268,2025-03-12,C09906,P0126,5,18429.73,0.05,No
O000269,2025-01-15,C07557,P0031,1,7777.47,0.25,No
O000270,2025-01-05,C08568,P0420,3,16788.32,0.2,No
O000271,2025-12-02,C01077,P0141,1,2035.24,0.15,No
O000272,2025-06-02,C02992,P0111,1,2807.17,0.0,No
O000273,2025-10-01,C06656,P0173,3,8803.19,0.1,No
O000274,2025-09-27,C08876,P0356,2,21481.5,0.2,No
O000275,2025-08-28,C02804,P0125,1,11687.32,0.25,No
O000276,2025-04-06,C09467,P0253,1,10271.09,0.1,No
O000277,2025-07-11,C02317,P0352,2,9612.15,0.1,No
O000278,2025-02-27,C05834,P0162,1,8782.9,0.0,No
O000279,2025-01-13,C06895,P0401,4,1395.4,0.1,No
O000280,2025-05-01,C02705,P0399,1,3392.18,0.2,No
O000281,2025-12-30,C03379,P0281,1,6168.15,0.15,No
O000282,2025-05-04,C03155,P0075,2,7909.38,0.0,No
O000283,2025-05-11,C03857,P0211,1,14052.38,0.2,No
O000284,2025-05-21,C06900,P0461,2,14739.31,0.25,No
O000285,2025-07-21,C04355,P0051,1,17680.6,0.0,No
O000286,2025-02-24,C06559,P0117,1,2920.82,0.1,No
O000287,2025-09-04,C09423,P0227,1,12236.48,0.0,No
O000288,2025-01-03,C08412,P0155,2,17906.25,0.0,No
O000289,2025-02-10,C04414,P0130,1,398.37,0.05,No
O000290,2025-04-20,C05106,P0365,2,15975.82,0.0,No
O000291,2025-03-02,C08832,P0196,1,4743.76,0.15,No
O000292,2025-07-12,C03249,P0450,1,3768.61,0.2,No
O000293,2025-01-12,C06549,P0384,3,20408.24,0.1,No
O000294,2025-06-29,C04418,P0195,4,2073.57,0.05,No
O000295,2025-05-07,C08205,P0497,1,10560.36,0.1,Yes
O000296,2025-08-20,C03793,P0256,1,15939.8,0.1,No
O000297,2025-12-13,C03251,P0149,1,14501.44,0.25,No
O000298,2025-10-18,C05538,P0434,1,12759.44,0.15,No
O000299,2025-04-29,C00470,P0005,5,13624.55,0.0,No
O000300,2025-03-12,C06778,P0330,1,5761.4,0.05,Yes
O000301,2025-10-28,C08564,P0193,1,3787.37,0.1,No
O000302,2025-08-16,C01622,P0334,2,17089.02,0.05,No
O000303,2025-10-01,C08690,P0119,1,8689.71,0.0,Yes
O000304,2025-12-14,C05323,P0429,2,789.7,0.0,Yes
O000305,2025-05-13,C09593,P0100,1,22653.61,0.25,No
O000306,2025-12-16,C01394,P0209,4,10967.3,0.1,No
O000307,2025-04-07,C01860,P0036,1,323.29,0.25,No
O000308,2025-05-21,C00316,P0124,3,19783.72,0.25,No
O000309,2025-08-31,C04457,P0097,3,17499.42,0.0,No
O000310,2025-09-07,C06881,P0089,4,4607.66,0.1,No
O000311,2025-12-30,C09444,P0172,1,4438.12,0.05,No
O000312,2025-05-26,C05823,P0131,2,11768.77,0.15,No
O000313,2025-03-12,C05396,P0151,3,18487.92,0.25,No
O000314,2025-12-23,C07799,P0432,2,12911.73,0.1,No
O000315,2025-06-25,C02137,P0244,1,16004.3,0.0,Yes
O000316,2025-02-04,C01840,P0213,2,17739.26,0.15,No
O000317,2025-10-24,C05015,P0237,2,13161.26,0.1,No
O000318,2025-04-05,C05226,P0300,1,12746.24,0.25,No
O000319,2025-04-19,C06706,P0365,2,15975.82,0.05,No
O000320,2025-09-07,C08428,P0311,2,2652.11,0.25,Yes
O000321,2025-02-16,C00757,P0028,1,3385.6,0.15,No
O000322,2025-12-16,C01695,P0065,2,16123.27,0.1,No
O000323,2025-07-27,C05536,P0230,4,890.89,0.25,No
O000324,2025-05-19,C00671,P0439,3,3613.6,0.2,No
O000325,2025-12-24,C04618,P0047,4,7647.17,0.1,No
O000326,2025-06-29,C04018,P0161,3,8780.65,0.2,No
O000327,2025-03-28,C03495,P0248,2,5212.87,0.15,No
O000328,2025-09-09,C06642,P0338,2,2284.03,0.2,No
O000329,2025-03-12,C03410,P0025,1,7219.72,0.1,No
O000330,2025-12-31,C07477,P0487,1,2261.0,0.0,No
O000331,2025-02-03,C09182,P0067,3,10376.04,0.15,Yes
O000332,2025-11-01,C08549,P0405,1,12684.34,0.25,Yes
O000333,2025-10-23,C07990,P0373,1,12155.24,0.15,No
O000334,2025-07-25,C04927,P0478,1,14134.45,0.15,No
O000335,2025-02-22,C01339,P0496,5,10063.45,0.2,No
O000336,2025-07-05,C09447,P0235,3,7444.12,0.05,No
O000337,2025-09-08,C04948,P0448,1,15523.05,0.25,No
O000338,2025-10-07,C08458,P0470,3,2731.47,0.1,Yes
O000339,2025-09-12,C03027,P0124,5,19783.72,0.25,No
O000340,2025-12-12,C04791,P0287,3,8476.7,0.25,No
O000341,2025-08-29,C00078,P0029,2,11386.55,0.0,No
O000342,2025-03-30,C05581,P0125,1,11687.32,0.0,No
O000343,2025-01-16,C09092,P0425,2,17071.6,0.05,No
O000344,2025-10-20,C06655,P0248,5,5212.87,0.0,No
O000345,2025-01-10,C06650,P0211,1,14052.38,0.15,No
O000346,2025-04-21,C03331,P0282,3,3512.37,0.25,Yes
O000347,2025-07-29,C07527,P0033,1,13043.99,0.25,No
O000348,2025-01-01,C01777,P0394,3,8659.15,0.05,No
O000349,2025-10-31,C07740,P0005,3,13624.55,0.0,No
O000350,2025-09-24,C04030,P0250,3,13369.44,0.2,No
O000351,2025-12-27,C06831,P0471,3,5308.44,0.2,No
O000352,2025-12-28,C00600,P0256,1,15939.8,0.2,No
O000353,2025-11-01,C08268,P0139,1,20804.16,0.25,No
O000354,2025-06-05,C08057,P0370,2,18082.34,0.15,Yes
O000355,2025-07-29,C02884,P0316,1,2730.51,0.15,No
O000356,2025-06-24,C04408,P0416,1,17060.84,0.15,No
O000357,2025-07-04,C07716,P0203,2,16028.5,0.0,No
O000358,2025-09-15,C08354,P0083,1,12215.68,0.2,No
O000359,2025-06-29,C07810,P0296,1,16094.65,0.0,No
O000360,2025-03-09,C05470,P0392,3,1078.24,0.0,No
O000361,2025-11-10,C02942,P0204,5,8826.34,0.05,No
O000362,2025-07-19,C02049,P0433,2,10380.74,0.1,No
O000363,2025-08-15,C06083,P0488,1,15652.73,0.0,No
O000364,2025-05-13,C00541,P0237,3,13161.26,0.0,No
O000365,2025-02-14,C03721,P0172,1,4438.12,0.1,No
O000366,2025-08-27,C02433,P0140,1,19137.92,0.15,No
O000367,2025-12-29,C02051,P0176,2,17886.76,0.15,No
O000368,2025-01-13,C09417,P0304,1,15970.93,0.1,No
O000369,2025-07-28,C03440,P0205,2,11143.54,0.05,No
O000370,2025-04-29,C08071,P0223,1,3310.47,0.1,No
O000371,2025-07-01,C08730,P0484,2,2479.8,0.05,No
O000372,2025-08-27,C08514,P0119,1,8689.71,0.05,No
O000373,2025-06-22,C02896,P0096,3,745.75,0.05,No
O000374,2025-04-28,C03819,P0415,2,6493.51,0.25,No
O000375,2025-10-06,C00872,P0004,2,15784.44,0.1,No
O000376,2025-01-18,C03402,P0129,1,7722.21,0.15,No
O000377,2025-04-30,C03237,P0098,3,16050.1,0.05,No
O000378,2025-09-21,C08805,P0455,1,14048.14,0.1,No
O000379,2025-07-04,C01352,P0066,2,1662.76,0.2,No
O000380,2025-08-26,C00208,P0138,1,10746.39,0.0,No
O000381,2025-12-18,C06090,P0386,2,11398.74,0.15,Yes
O000382,2025-07-17,C09362,P0338,2,2284.03,0.25,No
O000383,2025-12-28,C04847,P0190,1,20916.2,0.1,No
O000384,2025-07-08,C02361,P0050,1,13016.35,0.25,No
O000385,2025-11-14,C03645,P0238,2,21968.88,0.15,No
O000386,2025-03-16,C05296,P0106,2,10459.23,0.15,No
O000387,2025-09-25,C09872,P0220,2,2643.84,0.2,No
O000388,2025-10-12,C02176,P0270,1,7308.9,0.2,No
O000389,2025-11-11,C09884,P0234,4,1156.88,0.15,No
O000390,2025-04-22,C08485,P0442,2,4715.08,0.0,No
O000391,2025-03-26,C00375,P0122,1,21161.99,0.2,No
O000392,2025-12-12,C09530,P0423,1,14525.2,0.1,No
O000393,2025-12-17,C01323,P0349,2,11687.99,0.05,No
O000394,2025-08-11,C06491,P0224,3,7866.55,0.25,No
O000395,2025-12-10,C06633,P0327,3,10096.21,0.15,No
O000396,2025-09-11,C03657,P0153,1,6665.42,0.0,No
O000397,2025-12-14,C09311,P0296,2,16094.65,0.05,No
O000398,2025-11-12,C09562,P0184,1,9430.85,0.25,No
O000399,2025-04-05,C08647,P0172,1,4438.12,0.15,No
O000400,2025-06-16,C02502,P0053,1,9968.3,0.15,No
O000401,2025-04-16,C07238,P0152,2,10707.69,0.15,No
O000402,2025-11-11,C09892,P0132,1,11747.66,0.2,No
O000403,2025-10-16,C03295,P0285,1,11223.2,0.25,No
O000404,2025-12-06,C05936,P0223,2,3310.47,0.05,No
O000405,2025-09-09,C00954,P0263,1,14505.92,0.0,No
O000406,2025-12-06,C01492,P0009,1,8063.78,0.15,Yes
O000407,2025-07-12,C06229,P0344,1,16759.06,0.25,Yes
O000408,2025-07-19,C05750,P0377,2,376.75,0.15,No
O000409,2025-04-15,C03046,P0088,1,7193.23,0.2,No
O000410,2025-11-03,C09246,P0110,5,3897.73,0.15,No
O000411,2025-02-19,C00084,P0409,2,15684.48,0.0,No
O000412,2025-09-23,C04954,P0281,1,6168.15,0.25,Yes
O000413,2025-08-15,C00376,P0383,1,11515.25,0.25,No
O000414,2025-08-18,C05072,P0156,3,14385.21,0.2,No
O000415,2025-08-29,C03240,P0341,2,4133.83,0.2,No
O000416,2025-09-05,C04578,P0047,5,7647.17,0.0,No
O000417,2025-04-12,C00381,P0307,1,13485.03,0.15,No
O000418,2025-10-14,C05993,P0327,1,10096.21,0.1,No
O000419,2025-05-07,C08042,P0418,2,16498.59,0.15,No
O000420,2025-06-03,C09416,P0428,1,7553.15,0.15,No
O000421,2025-08-14,C03831,P0277,3,11257.04,0.0,No
O000422,2025-09-14,C05335,P0067,4,10376.04,0.0,No
O000423,2025-06-26,C06374,P0224,4,7866.55,0.0,No
O000424,2025-06-05,C07250,P0278,2,13287.97,0.15,No
O000425,2025-10-04,C08662,P0473,2,4233.37,0.15,No
O000426,2025-01-23,C04326,P0182,2,10089.55,0.15,No
O000427,2025-01-21,C03512,P0258,1,15355.66,0.25,No
O000428,2025-01-24,C02455,P0123,2,11434.73,0.2,No
O000429,2025-07-21,C06389,P0144,3,11573.74,0.25,No
O000430,2025-04-29,C03643,P0153,1,6665.42,0.2,No
O000431,2025-02-27,C05407,P0091,1,22504.82,0.0,No
O000432,2025-05-01,C06372,P0017,2,13574.72,0.0,No
O000433,2025-04-18,C08945,P0024,1,17483.52,0.1,No
